p1,p2,p3,p4,p5,p10,nWrong,nUnique,variance
0.9492,0.9322,0.9096,0.8856,0.861,0.7918,0,10,0.0
0.9298,0.9298,0.924,0.8904,0.8737,0.7731,0,13,0.0
0.9298,0.9211,0.9064,0.8596,0.8386,0.8085,0,10,0.0
0.9828,0.9655,0.9483,0.8879,0.8793,0.8283,0,12,0.0
0.9677,0.9355,0.9086,0.8911,0.8677,0.802,0,11,0.0
0.9519,0.9368,0.9194,0.8829,0.8641,0.8007,0.0,11.2,0.0
0.0234,0.0169,0.0176,0.0132,0.0158,0.0204,0.0,1.3038404810405297,0.0
