p1,p2,p3,p4,p5,p10,nWrong,nUnique,variance
0.9692,0.9308,0.9026,0.8808,0.8585,0.8275,1,16,1e-04
0.9846,0.9385,0.9026,0.8731,0.8646,0.8235,1,15,0.0
0.9692,0.9385,0.9026,0.8731,0.8462,0.8196,1,14,1e-04
0.9692,0.9308,0.9077,0.8769,0.8646,0.8294,2,16,1e-04
0.9692,0.9385,0.9026,0.8923,0.8615,0.8196,1,14,1e-04
0.9723,0.9354,0.9036,0.8792,0.8591,0.8239,1.2,15.0,7.999999797903001e-05
0.0069,0.0042,0.0023,0.008,0.0077,0.0045,0.4472135954999579,1.0,4.472135842023923e-05
