p1,p2,p3,p4,p5
0.9852,0.9395,0.8755,0.8497,0.834
0.9603,0.9321,0.9164,0.851,0.8324
0.9518,0.9145,0.8595,0.8449,0.8565
0.9518,0.9369,0.8876,0.8662,0.8326
0.959,0.9325,0.8811,0.8807,0.8279
0.9616,0.9311,0.884,0.8585,0.8367
0.0137,0.0098,0.0209,0.0147,0.0113
