p1,p2,p3,p4,p5
0.9723,0.9497,0.9236,0.8801,0.8583
0.9923,0.9597,0.9236,0.869,0.8628
0.9756,0.9545,0.9238,0.8886,0.8428
0.9846,0.9507,0.9233,0.8791,0.8733
0.9723,0.959,0.9241,0.8918,0.8581
0.9794,0.9547,0.9237,0.8817,0.8591
0.0088,0.0046,0.0003,0.009,0.011
