p1,p2,p3,p4,p5,p10,nWrong,nUnique,variance
0.9692,0.9154,0.8872,0.8462,0.8369,0.8118,2,20,0.0014
0.9385,0.9154,0.8974,0.8538,0.84,0.8137,2,18,0.0013
0.9538,0.9,0.8667,0.8385,0.8431,0.8176,2,22,0.0014
0.9538,0.9154,0.8974,0.8615,0.8431,0.8,1,18,0.0013
0.9692,0.9154,0.8974,0.8769,0.8185,0.802,1,18,0.0012
0.9569,0.9123,0.8892,0.8554,0.8363,0.809,1.6,19.2,0.00132
0.0129,0.0069,0.0134,0.0148,0.0103,0.0077,0.5477225575051661,1.7888543819998317,8.36660026534076e-05
