p1,p2,p3,p4,p5
0.9728,0.9369,0.9027,0.8929,0.8632
0.9728,0.9589,0.9155,0.8744,0.8454
0.9792,0.923,0.9049,0.8808,0.8509
0.9728,0.9318,0.874,0.8557,0.8396
0.9583,0.9059,0.8868,0.8435,0.8433
0.9712,0.9313,0.8968,0.8695,0.8485
0.0077,0.0194,0.0163,0.0198,0.0092
