p1,p2,p3,p4,p5,p10,nWrong,nUnique,variance
0.8154,0.5077,0.4718,0.4885,0.5046,0.5373,5,18,1e-04
0.6308,0.4923,0.4205,0.4192,0.4031,0.4961,15,17,0.0002
0.8308,0.8231,0.7385,0.7,0.6492,0.5882,1,18,0.0002
0.8308,0.8077,0.7128,0.7077,0.6862,0.5843,1,14,0.0002
0.8615,0.7923,0.7385,0.6962,0.6277,0.5255,2,15,0.0002
0.7938,0.6846,0.6164,0.6023,0.5742,0.5463,4.8,16.4,0.00017999999690800905
0.0927,0.169,0.1568,0.1378,0.1174,0.0395,5.932958789676531,1.8165902124584952,4.472135842023923e-05
