p1,p2,p3,p4,p5,p10,nWrong,nUnique,variance
0.7451,0.4804,0.4444,0.4314,0.4667,0.5051,6,17,1e-04
0.5098,0.3922,0.3595,0.3627,0.3686,0.4308,12,18,0.0002
0.7647,0.7255,0.6732,0.6618,0.6196,0.559,3,18,0.0002
0.7451,0.7451,0.6601,0.6471,0.6431,0.5256,3,15,0.0002
0.7647,0.6569,0.6667,0.5931,0.549,0.4949,2,18,0.0002
0.7059,0.6,0.5608,0.5392,0.5294,0.5031,5.2,17.2,0.00017999999690800905
0.11,0.1562,0.1481,0.1345,0.1132,0.0473,4.08656334834051,1.3038404810405297,4.472135842023923e-05
