p1,p2,p3,p4,p5
0.9306,0.9158,0.9051,0.8618,0.8391
0.945,0.9158,0.9051,0.8834,0.8541
0.9306,0.9126,0.8752,0.8542,0.8395
0.9728,0.9369,0.8877,0.8507,0.8387
0.9728,0.9314,0.9327,0.8869,0.8463
0.9503,0.9225,0.9012,0.8674,0.8436
0.0213,0.0109,0.0216,0.0167,0.0067
