p1,p2,p3,p4,p5
0.753,0.4864,0.435,0.4222,0.4686
0.5046,0.4112,0.3656,0.3689,0.3797
0.798,0.7231,0.6677,0.6534,0.6205
0.7591,0.7502,0.6711,0.6616,0.6544
0.7766,0.6705,0.6806,0.5926,0.5505
0.7182,0.6083,0.564,0.5397,0.5347
0.1207,0.1507,0.1515,0.1356,0.1122
