p1,p2,p3,p4,p5
0.9646,0.9285,0.9256,0.8758,0.8443
0.9521,0.9333,0.9226,0.8717,0.8474
0.9646,0.9285,0.9305,0.8823,0.8523
0.9646,0.9285,0.9305,0.8917,0.8534
0.9646,0.9229,0.9242,0.8892,0.8548
0.9621,0.9283,0.9267,0.8821,0.8504
0.0056,0.0037,0.0036,0.0085,0.0044
