p1,p2,p3,p4,p5
0.8527,0.5633,0.5377,0.5293,0.53
0.6194,0.5026,0.4603,0.4447,0.426
0.8549,0.8567,0.7409,0.7024,0.637
0.8549,0.8476,0.7485,0.7173,0.6803
0.8965,0.8074,0.736,0.6934,0.6231
0.8157,0.7155,0.6447,0.6174,0.5793
0.1113,0.1691,0.1358,0.1231,0.1017
