p1,p2,p3,p4,p5,p10,nWrong,nUnique,variance
0.9538,0.9154,0.9128,0.8692,0.8585,0.802,1,14,0.0001
0.9385,0.9077,0.8974,0.8615,0.8585,0.802,1,16,0.0001
0.9538,0.9154,0.9077,0.8769,0.8646,0.8059,1,13,0.0001
0.9538,0.9154,0.9077,0.8846,0.8615,0.8137,1,15,0.0001
0.9538,0.9077,0.8974,0.8769,0.8677,0.8059,1,14,0.0
0.9508,0.9123,0.9046,0.8738,0.8622,0.8059,1.0,14.4,8e-05
0.0069,0.0042,0.0069,0.0088,0.004,0.0048,0.0,1.1401754250991378,4.4721359549995795e-05
