p1,p2,p3,p4,p5,p10,nWrong,nUnique,variance
0.9412,0.9118,0.8954,0.8529,0.8353,0.8359,0,15,1e-04
0.9412,0.9118,0.8954,0.8775,0.8431,0.8282,0,14,0.0
0.9412,0.902,0.8758,0.848,0.8314,0.8462,0,14,0.0
0.9608,0.9216,0.8824,0.8431,0.8314,0.8487,1,16,0.0
0.9608,0.9216,0.9216,0.8775,0.8353,0.8436,0,15,0.0
0.949,0.9137,0.8941,0.8598,0.8353,0.8405,0.2,14.8,1.9999999494757503e-05
0.0107,0.0082,0.0175,0.0165,0.0048,0.0084,0.447213595499958,0.8366600265340756,4.472135842023923e-05
