,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,R1,R2,R3,R4,R5,R6
PLD2,11.3263361866568,10.9472755356226,11.3147777944188,10.570756477374,10.5926669918642,11.2615601644685,10.0331566879167,10.3691632549289,10.8281625666376,12.1627782175807,11.4880204176606,11.2029505940758,11.1057061503946,10.5186201544958,10.7515131990778,11.2489553747002,10.8711519421179,11.3179550680422,10.8639528537181,9.5194992212687,10.9191422626307,9.72402766617708,11.0490982317857,10.8718333095228,11.3952892615848,12.0918841689278,9.31107533083649,10.913566206192,10.4548728097356,9.02673041875729,9.16421052194308,11.3847699417574,9.28763785852354,11.8725788587337,12.1388228475874,10.4530143453591,11.6300218797577,9.79377980572226,11.0157591042766,9.00340827585928,8.8574493338804,10.229483950174,10.523110589248
CALM1,14.7448898636318,14.3341977312178,13.2504158852459,12.6774161182584,12.7255433224187,14.6214260054476,15.1533882008702,13.6602013160065,14.406992233592,14.5819892513957,13.5078024022351,12.2920832570517,12.9140961457881,13.7455414067457,12.3069016092445,13.3876140035234,12.4651906090929,13.541044765637,13.5096815651131,13.3859689199077,13.3270887412306,13.5357921842708,13.2498913936121,13.1840308541298,12.2989574818907,14.6381833358734,13.1272075365508,12.9065972067317,12.9666394812978,12.1283754036395,14.0654398842766,14.5893938906153,13.9558899694281,12.7538460844258,17.0742613527942,12.6772161733616,14.2574126917619,13.4898390799423,13.881837147378,12.348626547522,11.5781556959832,12.6074280685245,12.4000744413487
LRP5,13.4969672875994,13.4834989482105,13.6391302598923,14.1779598190276,12.5608311868116,14.110605593239,14.3607714674075,13.7734179518325,13.0659212661898,13.340088801354,13.331659790209,11.4805122022877,12.2920694317857,10.3872395081958,13.5025019182981,13.3892143639802,12.6974001134596,12.8776330810888,13.5163982915021,13.8818718712015,12.5687758266549,13.416023475836,13.666655055613,12.3002168421007,12.9565985778121,13.5920362263777,12.5280440634842,14.1516058311386,8.88874695461203,12.5917420042665,12.2637488162648,12.1255447780416,13.5470711405765,12.7792143444061,14.9044722916328,11.5217288084744,11.4044157928365,10.9221415638755,12.7991072736358,11.2594258487344,8.03852423499417,12.4836559742116,12.4883061381546
RASGRP2,4.91569803043448,6.60425141941544,9.17203778369427,6.20520464762947,5.99294102936694,7.60400274320335,4.06770112387953,7.97439934732417,5.83323587024251,5.74577302899217,7.33073552971333,8.47369348355537,6.60375402411974,8.10367686754466,7.06770112387953,5.32953278263167,6.91529722614217,5.83323587024251,7.41819837096367,4.74577302899217,5.74577302899217,4.33073552971333,4.55106548459288,5.06914309805344,4.32832903200623,6.26996210744154,3.33073552971333,6.79016714835062,2.74577302899217,2.74577302899217,1.74577302899217,3.74577302899217,6.60375402411974,4.74577302899217,9.27715448950848,5.91489631046893,7.10332503361025,3.33073552971333,3.74577302899217,2.74577302899217,3.33073552971333,3.33073552971333,5.06770112387953
WNT9A,9.40134922233043,8.84995577595573,7.35072314926046,4.30236012769906,7.90362444074932,10.669079723862,2.16485660394913,9.95732156392907,9.89821094456295,9.87635151059921,10.3747972842393,7.58439549546291,8.71790985671554,8.74077396506727,11.8051015401715,7.96186958178527,8.91304945353859,11.3118070628812,10.1120551882112,9.27755673669849,10.1323710847501,9.27964005119898,9.30645288233294,7.95927247029923,8.43164314464403,7.90362444074932,6.6567097002788,8.22447146024635,7.6915514494911,4.97221152600673,6.31866194002816,4.82020843256168,7.96704982089095,8.6193615415065,8.86112868787499,5.88732262842022,8.50292440149174,6.47228512914137,9.27859876999831,6.20925072330758,3.30236012769906,6.119052914336,8.08848121531745
VEGFB,11.6484064908395,10.4903834945041,11.322097221685,10.89029842044,9.97037075878578,11.3429652762099,10.8479704005467,9.53947605258626,10.9948797763897,10.2764359724803,10.6914777274654,10.6348370013582,11.5978345595757,10.5429685850749,10.7660795140226,11.5886162697003,9.89587163617219,11.1362023811267,9.51658416184255,10.5238083446291,11.0407199987307,7.94167532578531,10.4189671678115,9.38382895299078,8.98398613064328,10.9464816613771,9.8780328303345,10.6480348423466,9.95023733928874,10.5500973764453,11.5251879625725,9.44419082059458,11.8052746020347,9.34701942886031,14.3151205387321,8.83244625603056,10.141796252394,7.69401614583844,9.01902006841062,8.69656282794878,6.9757065328891,11.7490210469523,8.84627410988584
TRAF2,11.681794050226,10.5742626338169,11.4819943442568,9.29280644261293,10.6577086603157,11.0204675072095,10.1161733754511,11.1322537661915,10.704333483696,11.7660586541176,11.5098554178776,10.9666963689674,10.9816369681332,10.6749674258059,10.9744487329923,10.215816818124,10.8194019672491,10.7291368086434,10.3526121487482,10.6618871125153,10.9417668323997,9.92789958843161,10.8715653489736,9.89157282841549,8.83644864501238,10.9063428455346,11.3207536134938,11.7098478818304,9.24562390957781,9.73767049053421,9.97881402749112,9.74216197387228,10.4445621099841,10.4522249617711,12.399852660229,8.96233308549548,10.2344287323496,9.81071880623979,10.1404184458261,9.33244471389281,7.80643607594594,10.5919646355504,10.5038599475763
CCND3,11.7223599532511,10.8075541681331,11.5580939730636,10.4053363219902,10.2077435852443,12.2742076304889,10.6850736881161,11.1821591952351,11.0199999269764,13.0318908478669,10.7989435273392,10.3686338282244,10.9587696958148,10.9479416695469,11.8032681682601,11.0500006803477,8.86550101111366,11.8116287463211,10.821221786347,12.2107997793734,11.224511619635,10.1860944747928,11.2845514356549,10.2116486541499,10.6137826390398,11.9047099688764,11.4168705533108,11.9762418701932,9.87780041587148,10.5583563477157,11.2820950494846,11.0730110252862,10.461423275769,12.1640301774099,13.5436607927559,8.934651472017,11.4846517351728,9.98400919596678,11.2238597862767,10.1061315339648,8.4979981849727,10.5619026361449,12.2192097486501
PLCB3,12.8653703606367,12.196952687022,11.6995181186344,11.4650346780786,11.705714342755,12.5602254742572,10.4635176565096,11.5469019677452,11.8395830105448,12.2828904719128,12.6542483799913,11.1941697389931,11.8731791233305,11.2534519785775,12.4221108650476,11.9654028018057,12.4990836044914,11.9205751200704,11.9724123763061,11.5977630426614,11.9062672926627,11.0428373618282,12.1095162130995,12.2322549348947,11.2561274183376,12.3766031718289,11.7718874460688,11.3827229612909,10.6874489783871,10.5065712722763,11.9214208899979,11.5257950247713,10.502876120993,10.2876307694865,13.2431167964475,10.1342886522398,11.812170938359,7.4923573393896,11.8581227699403,10.1891209039562,8.74533808055947,11.4203288327946,10.7224642621306
CAMK2G,14.0256073922869,11.4945454647413,12.1251591457886,11.2163473440878,11.3350615000565,13.9736141603291,10.8922655433953,12.9683995759149,11.0074599470872,13.5350272756223,11.3107873002773,11.0106468760697,11.0303141902614,11.10753857404,13.0366690821823,10.4815559821608,9.94479185660221,11.6750686676785,11.7348857483816,10.9680645122579,11.5486703366863,11.3231585650915,11.5755410614328,11.7614733391041,11.0428920243441,11.9132245560608,10.5480737843954,11.117582468605,10.550079086955,9.76610622536071,10.1472000773548,10.993618574372,11.258511239349,10.8664761883904,13.6782656715317,13.6425912205756,11.6267154626539,11.3935209934794,12.0109830786946,10.7299192127338,8.06145044319578,9.75214533181015,10.7423721062721
